pop,latency,window
pop14,20,50
pop14,24,80
pop14,34,90
pop14,55,95
pop14,114,99
pop14,187,99.9
pop14,311,99.99
pop14,804,99.999
pop14,804,99.9999
pop5,25,50
pop5,34,80
pop5,40,90
pop5,49,95
pop5,89,99
pop5,126,99.9
pop5,263,99.99
pop5,933,99.999
pop5,933,99.9999
pop2,86,50
pop2,102,80
pop2,107,90
pop2,111,95
pop2,135,99
pop2,181,99.9
pop2,229,99.99
pop2,229,99.999
pop2,229,99.9999
pop1,74,50
pop1,90,80
pop1,99,90
pop1,109,95
pop1,241,99
pop1,637,99.9
pop1,2061,99.99
pop1,2061,99.999
pop1,2061,99.9999
pop4,66,50
pop4,78,80
pop4,110,90
pop4,135,95
pop4,170,99
pop4,310,99.9
pop4,310,99.99
pop4,310,99.999
pop4,310,99.9999
pop16,52,50
pop16,53,80
pop16,54,90
pop16,54,95
pop16,57,99
pop16,57,99.9
pop16,57,99.99
pop16,57,99.999
pop16,57,99.9999
pop15,9,50
pop15,10,80
pop15,10,90
pop15,10,95
pop15,10,99
pop15,10,99.9
pop15,10,99.99
pop15,10,99.999
pop15,10,99.9999
