pop,latency,window
pop2,26,50
pop2,34,80
pop2,61,90
pop2,78,95
pop2,210,99
pop2,261,99.9
pop2,363,99.99
pop2,644,99.999
pop2,644,99.9999
pop14,62,50
pop14,78,80
pop14,84,90
pop14,94,95
pop14,210,99
pop14,905,99.9
pop14,905,99.99
pop14,905,99.999
pop14,905,99.9999
pop1,131,50
pop1,187,80
pop1,201,90
pop1,220,95
pop1,270,99
pop1,317,99.9
pop1,317,99.99
pop1,317,99.999
pop1,317,99.9999
pop4,212,50
pop4,326,80
pop4,526,90
pop4,845,95
pop4,1174,99
pop4,1726,99.9
pop4,1726,99.99
pop4,1726,99.999
pop4,1726,99.9999
