metro,pop choices,default pop,pop_count
metro_133,['pop10' 'pop13'],pop10,2
metro_134,['pop15'],pop15,1
metro_135,['pop15'],pop15,1
metro_136,['pop6' 'pop12'],pop12,2
metro_137,['pop13'],pop13,1
metro_138,['pop1' 'pop4' 'pop2'],pop1,3
metro_139,['pop5' 'pop14'],pop5,2
metro_140,['pop10'],pop10,1
metro_141,['pop16' 'pop5' 'pop9'],pop16,3
metro_142,['pop2'],pop2,1
metro_143,['pop8'],pop8,1
metro_144,['pop5'],pop5,1
metro_145,['pop18' 'pop15'],pop15,2
metro_146,['pop15'],pop15,1
metro_147,['pop16' 'pop5'],pop16,2
metro_148,['pop2'],pop2,1
metro_149,['pop10'],pop10,1
metro_150,['pop2'],pop2,1
metro_151,['pop12'],pop12,1
metro_152,['pop15' 'pop18'],pop15,2
metro_153,['pop16' 'pop5' 'pop9'],pop16,3
metro_154,['pop8'],pop8,1
metro_155,['pop14' 'pop8'],pop14,2
metro_156,['pop10'],pop10,1
metro_157,['pop2' 'pop14' 'pop4'],pop2,3
metro_158,['pop2'],pop2,1
metro_159,['pop2'],pop2,1
metro_160,['pop16' 'pop5' 'pop9'],pop16,3
metro_161,['pop16' 'pop5' 'pop9'],pop16,3
metro_162,['pop9'],pop9,1
metro_163,['pop7'],pop7,1
metro_164,['pop8'],pop8,1
metro_165,['pop17'],pop17,1
metro_166,['pop2' 'pop1' 'pop4'],pop2,3
metro_167,['pop2' 'pop1'],pop2,2
metro_168,['pop1' 'pop2'],pop1,2
metro_169,['pop10'],pop10,1
metro_170,['pop16' 'pop5'],pop16,2
metro_171,['pop10'],pop10,1
metro_172,['pop15'],pop15,1
metro_173,['pop15' 'pop11' 'pop7'],pop15,3
metro_174,['pop7'],pop7,1
metro_175,['pop5' 'pop4' 'pop2'],pop5,3
metro_176,['pop5'],pop5,1
metro_177,['pop8'],pop8,1
metro_178,['pop2' 'pop1'],pop1,2
metro_179,['pop8'],pop8,1
metro_180,['pop8' 'pop4' 'pop11' 'pop14'],pop8,4
metro_181,['pop1' 'pop5'],pop1,2
metro_182,['pop10'],pop10,1
metro_183,['pop10'],pop10,1
metro_184,['pop10'],pop10,1
metro_185,['pop1' 'pop5'],pop1,2
metro_186,['pop4' 'pop1'],pop4,2
metro_187,['pop6' 'pop12'],pop6,2
metro_188,['pop8'],pop8,1
metro_189,['pop8' 'pop4'],pop8,2
metro_190,['pop1' 'pop2' 'pop4'],pop1,3
metro_191,['pop7'],pop7,1
metro_192,['pop2' 'pop4' 'pop1'],pop2,3
metro_193,['pop12'],pop12,1
metro_194,['pop16' 'pop5' 'pop9'],pop16,3
metro_195,['pop5'],pop5,1
metro_196,['pop5'],pop5,1
metro_197,['pop10'],pop10,1
metro_198,['pop2' 'pop14' 'pop1' 'pop4'],pop2,4
metro_199,['pop9'],pop9,1
metro_200,['pop4'],pop4,1
metro_201,['pop2'],pop2,1
metro_202,['pop11' 'pop15'],pop11,2
metro_203,['pop16' 'pop5' 'pop9'],pop16,3
metro_204,['pop7'],pop7,1
metro_205,['pop17'],pop17,1
metro_206,['pop15'],pop15,1
metro_207,['pop2' 'pop4' 'pop1'],pop2,3
metro_208,['pop16' 'pop5' 'pop9'],pop16,3
metro_209,['pop16' 'pop5' 'pop9'],pop16,3
metro_210,['pop2' 'pop1'],pop2,2
metro_211,['pop12' 'pop6' 'pop5'],pop12,3
metro_212,['pop7'],pop7,1
metro_213,['pop10'],pop10,1
metro_214,['pop2'],pop2,1
metro_215,['pop10'],pop10,1
metro_216,['pop10'],pop10,1
metro_217,['pop17'],pop17,1
metro_218,['pop5'],pop5,1
metro_219,['pop2'],pop2,1
metro_220,['pop10'],pop10,1
metro_221,['pop14' 'pop1' 'pop5'],pop5,3
metro_222,['pop15'],pop15,1
metro_223,['pop10' 'pop13'],pop10,2
metro_224,['pop7'],pop7,1
metro_225,['pop2'],pop2,1
metro_226,['pop16'],pop16,1
metro_227,['pop10'],pop10,1
metro_228,['pop16'],pop16,1
metro_229,['pop8'],pop8,1
metro_230,['pop1' 'pop4'],pop1,2
metro_231,['pop12'],pop12,1
