metro,clients,default pop,latency,time
metro_73,2421,pop1,54,90
metro_145,549,pop15,29,90
metro_118,126,pop16,30,90
metro_89,500,pop4,47,90
metro_77,1104,pop4,31,90
metro_37,28,pop1,39,90
metro_2,523,pop1,89,90
metro_175,1589,pop5,183,90
metro_223,509,pop10,26,90
metro_106,3637,pop14,27,90
metro_116,27,pop11,56,90
metro_230,923,pop1,48,90
metro_10,291,pop5,38,90
metro_173,2975,pop15,50,90
metro_101,132,pop2,117,90
metro_86,554,pop1,83,90
metro_54,745,pop4,90,90
metro_157,2795,pop2,48,90
metro_47,2289,pop8,78,90
metro_105,356,pop2,58,90
metro_98,1308,pop1,55,90
metro_107,1229,pop14,34,90
metro_221,942,pop5,111,90
metro_139,1010,pop5,24,90
metro_209,295,pop16,89,90
metro_168,1715,pop1,46,90
metro_75,119,pop14,54,90
metro_127,479,pop1,41,90
metro_3,4618,pop16,92,90
metro_57,722,pop4,64,90
metro_121,772,pop12,33,90
metro_70,407,pop1,40,90
metro_99,636,pop14,37,90
metro_38,486,pop5,34,90
metro_112,167,pop13,31,90
metro_109,3577,pop14,64,90
metro_5,1420,pop16,166,90
metro_11,2689,pop1,50,90
metro_141,1205,pop16,31,90
metro_186,553,pop4,29,90
metro_92,54,pop2,48,90
metro_95,1076,pop4,39,90
metro_9,364,pop16,71,90
metro_65,3620,pop2,54,90
metro_203,83,pop16,65,90
metro_207,540,pop2,50,90
metro_211,235,pop12,40,90
metro_30,67,pop1,30,90
metro_198,190,pop2,61,90
metro_170,266,pop16,82,90
