metro,clients,default pop,latency,time
metro_47,154,pop8,78,90
metro_114,112,pop4,64,90
metro_118,27,pop16,30,90
metro_110,1207,pop8,69,90
metro_81,295,pop5,57,90
metro_26,3652,pop14,53,90
metro_2,63,pop1,89,90
metro_49,138,pop5,94,90
metro_37,454,pop1,39,90
metro_92,1003,pop2,48,90
metro_56,458,pop9,327,90
metro_109,2609,pop14,64,90
metro_166,381,pop2,48,90
metro_230,262,pop1,48,90
metro_89,374,pop4,47,90
metro_98,2124,pop1,55,90
metro_173,549,pop15,50,90
metro_189,960,pop8,41,90
metro_210,445,pop2,39,90
metro_221,2069,pop5,111,90
metro_190,233,pop1,35,90
metro_138,646,pop1,57,90
metro_136,780,pop12,146,90
metro_39,114,pop7,100,90
metro_54,1394,pop4,90,90
metro_152,3636,pop15,19,90
metro_51,1000,pop15,30,90
metro_104,329,pop2,82,90
metro_107,139,pop14,34,90
metro_208,605,pop16,51,90
metro_187,478,pop6,30,90
metro_223,7,pop10,26,90
metro_161,294,pop16,79,90
metro_147,1024,pop16,52,90
metro_121,865,pop12,33,90
metro_3,118,pop16,92,90
metro_168,28,pop1,46,90
metro_11,301,pop1,50,90
metro_139,805,pop5,24,90
metro_180,33,pop8,69,90
metro_141,1393,pop16,31,90
metro_74,1227,pop15,67,90
metro_194,201,pop16,57,90
metro_71,815,pop1,36,90
metro_9,588,pop16,71,90
metro_186,523,pop4,29,90
metro_102,1003,pop2,39,90
metro_95,741,pop4,39,90
metro_5,955,pop16,166,90
metro_70,554,pop1,40,90
