metro,clients,default pop,latency,time
metro_194,148,pop16,57,90
metro_141,11,pop16,31,90
metro_211,1600,pop12,40,90
metro_136,763,pop12,146,90
metro_106,859,pop14,27,90
metro_96,5151,pop1,33,90
metro_127,687,pop1,41,90
metro_180,537,pop8,69,90
metro_153,1393,pop16,68,90
metro_77,170,pop4,31,90
metro_147,232,pop16,52,90
metro_107,1089,pop14,34,90
metro_101,105,pop2,117,90
metro_114,3228,pop4,64,90
metro_2,156,pop1,89,90
metro_207,2151,pop2,50,90
metro_208,19,pop16,51,90
metro_24,635,pop2,91,90
metro_110,1645,pop8,69,90
metro_99,1665,pop14,37,90
metro_109,342,pop14,64,90
metro_186,876,pop4,29,90
metro_167,70,pop2,43,90
metro_221,7,pop5,111,90
metro_160,1052,pop16,81,90
