metro,clients,default pop,latency,time
metro_178,1120,pop1,34,90
metro_210,2394,pop2,39,90
metro_202,1801,pop11,29,90
metro_39,1038,pop7,100,90
metro_209,406,pop16,89,90
metro_86,154,pop1,83,90
metro_93,2797,pop1,49,90
metro_109,705,pop14,64,90
metro_189,963,pop8,41,90
metro_56,1937,pop9,327,90
metro_51,1472,pop15,30,90
metro_96,2216,pop1,33,90
metro_223,18,pop10,26,90
metro_105,321,pop2,58,90
metro_170,845,pop16,82,90
metro_11,1185,pop1,50,90
metro_152,445,pop15,19,90
metro_160,483,pop16,81,90
metro_30,382,pop1,30,90
metro_167,237,pop2,43,90
metro_133,62,pop10,71,90
metro_5,423,pop16,166,90
metro_73,1064,pop1,54,90
metro_54,3228,pop4,90,90
metro_65,611,pop2,54,90
