metro,clients,default pop,latency,time
metro_24,886,pop2,91,90
metro_109,1504,pop14,64,90
metro_198,3269,pop2,61,90
metro_93,1534,pop1,49,90
metro_26,460,pop14,53,90
metro_189,935,pop8,41,90
metro_105,1284,pop2,58,90
metro_104,132,pop2,82,90
metro_39,600,pop7,100,90
metro_71,979,pop1,36,90
metro_47,191,pop8,78,90
metro_99,912,pop14,37,90
metro_187,583,pop6,30,90
metro_161,207,pop16,79,90
metro_114,1028,pop4,64,90
metro_96,81,pop1,33,90
metro_30,681,pop1,30,90
metro_173,474,pop15,50,90
metro_89,1537,pop4,47,90
metro_208,35,pop16,51,90
metro_221,364,pop5,111,90
metro_157,916,pop2,48,90
metro_32,838,pop18,22,90
metro_203,1572,pop16,65,90
metro_3,78,pop16,92,90
