metro,clients,default pop,latency,time
metro_24,5461,pop2,91,90
metro_113,189,pop14,92,90
metro_118,154,pop16,30,90
metro_161,1888,pop16,79,90
metro_138,862,pop1,57,90
metro_208,159,pop16,51,90
metro_194,199,pop16,57,90
metro_203,3446,pop16,65,90
metro_5,1179,pop16,166,90
metro_186,835,pop4,29,90
metro_190,696,pop1,35,90
metro_145,184,pop15,29,90
metro_141,534,pop16,31,90
metro_106,100,pop14,27,90
metro_70,994,pop1,40,90
metro_173,458,pop15,50,90
metro_175,1492,pop5,183,90
metro_180,44,pop8,69,90
metro_54,503,pop4,90,90
metro_26,755,pop14,53,90
metro_202,2825,pop11,29,90
metro_221,77,pop5,111,90
metro_71,442,pop1,36,90
metro_32,2054,pop18,22,90
metro_211,982,pop12,40,90
metro_107,709,pop14,34,90
metro_114,1255,pop4,64,90
metro_98,1018,pop1,55,90
metro_74,209,pop15,67,90
metro_89,308,pop4,47,90
metro_155,835,pop14,46,90
metro_167,823,pop2,43,90
metro_102,740,pop2,39,90
metro_230,4046,pop1,48,90
metro_192,1921,pop2,44,90
metro_73,1635,pop1,54,90
metro_11,159,pop1,50,90
metro_38,1721,pop5,34,90
metro_10,1479,pop5,38,90
metro_127,444,pop1,41,90
metro_57,1236,pop4,64,90
metro_168,78,pop1,46,90
metro_209,64,pop16,89,90
metro_99,1968,pop14,37,90
metro_93,4248,pop1,49,90
metro_147,959,pop16,52,90
metro_131,226,pop4,34,90
metro_95,1217,pop4,39,90
metro_166,1907,pop2,48,90
metro_187,223,pop6,30,90
metro_152,266,pop15,19,90
metro_49,429,pop5,94,90
metro_181,581,pop1,34,90
metro_110,41,pop8,69,90
metro_104,884,pop2,82,90
metro_116,2067,pop11,56,90
metro_178,118,pop1,34,90
metro_207,3436,pop2,50,90
metro_101,300,pop2,117,90
metro_111,195,pop15,175,90
metro_139,80,pop5,24,90
metro_9,557,pop16,71,90
metro_189,2558,pop8,41,90
metro_4,166,pop5,35,90
metro_30,618,pop1,30,90
metro_63,346,pop9,28,90
metro_37,426,pop1,39,90
metro_96,67,pop1,33,90
metro_2,1263,pop1,89,90
metro_77,438,pop4,31,90
metro_185,29,pop1,74,90
metro_157,807,pop2,48,90
metro_108,480,pop15,70,90
metro_198,922,pop2,61,90
metro_170,278,pop16,82,90
