metro,clients,default pop,latency,time
metro_37,164,pop1,39,90
metro_192,773,pop2,44,90
metro_105,559,pop2,58,90
metro_57,609,pop4,64,90
metro_157,206,pop2,48,90
metro_181,287,pop1,34,90
metro_116,823,pop11,56,90
metro_223,566,pop10,26,90
metro_9,955,pop16,71,90
metro_75,708,pop14,54,90
metro_51,1433,pop15,30,90
metro_106,833,pop14,27,90
metro_102,186,pop2,39,90
metro_207,40,pop2,50,90
metro_189,31,pop8,41,90
metro_221,725,pop5,111,90
metro_74,727,pop15,67,90
metro_3,1740,pop16,92,90
metro_131,2521,pop4,34,90
metro_70,2158,pop1,40,90
metro_153,701,pop16,68,90
metro_155,572,pop14,46,90
metro_99,1088,pop14,37,90
metro_10,302,pop5,38,90
metro_86,391,pop1,83,90
metro_114,327,pop4,64,90
metro_101,1187,pop2,117,90
metro_185,319,pop1,74,90
metro_210,212,pop2,39,90
metro_95,167,pop4,39,90
metro_5,23,pop16,166,90
metro_187,681,pop6,30,90
metro_167,138,pop2,43,90
metro_26,72,pop14,53,90
metro_93,145,pop1,49,90
metro_152,645,pop15,19,90
metro_198,815,pop2,61,90
metro_208,448,pop16,51,90
metro_138,3156,pop1,57,90
metro_127,2981,pop1,41,90
metro_147,2976,pop16,52,90
metro_81,454,pop5,57,90
metro_111,585,pop15,175,90
metro_168,88,pop1,46,90
metro_65,115,pop2,54,90
metro_92,1148,pop2,48,90
metro_173,2579,pop15,50,90
metro_175,1689,pop5,183,90
metro_121,1888,pop12,33,90
metro_32,890,pop18,22,90
metro_145,203,pop15,29,90
metro_110,1622,pop8,69,90
metro_4,268,pop5,35,90
metro_108,1265,pop15,70,90
metro_98,284,pop1,55,90
metro_11,95,pop1,50,90
metro_139,109,pop5,24,90
metro_230,152,pop1,48,90
metro_63,634,pop9,28,90
metro_56,993,pop9,327,90
metro_30,16,pop1,30,90
metro_141,210,pop16,31,90
metro_180,67,pop8,69,90
metro_109,653,pop14,64,90
metro_190,1758,pop1,35,90
metro_186,594,pop4,29,90
metro_211,979,pop12,40,90
metro_2,156,pop1,89,90
metro_113,352,pop14,92,90
metro_73,245,pop1,54,90
metro_39,1342,pop7,100,90
metro_71,23,pop1,36,90
metro_202,1847,pop11,29,90
metro_77,1967,pop4,31,90
metro_166,102,pop2,48,90
