metro,clients,default pop,latency,time
metro_181,148,pop1,34,90
metro_38,619,pop5,34,90
metro_71,260,pop1,36,90
metro_5,1462,pop16,166,90
metro_81,1009,pop5,57,90
metro_187,380,pop6,30,90
metro_136,1022,pop12,146,90
metro_77,4112,pop4,31,90
metro_99,1812,pop14,37,90
metro_192,427,pop2,44,90
metro_175,282,pop5,183,90
metro_24,15,pop2,91,90
metro_114,7053,pop4,64,90
metro_127,649,pop1,41,90
metro_30,208,pop1,30,90
metro_208,657,pop16,51,90
metro_3,2926,pop16,92,90
metro_10,147,pop5,38,90
metro_102,1847,pop2,39,90
metro_198,791,pop2,61,90
metro_141,402,pop16,31,90
metro_178,495,pop1,34,90
metro_112,3391,pop13,31,90
metro_95,2371,pop4,39,90
metro_11,535,pop1,50,90
metro_121,105,pop12,33,90
metro_230,4657,pop1,48,90
metro_39,1557,pop7,100,90
metro_57,2655,pop4,64,90
metro_65,1952,pop2,54,90
metro_86,1096,pop1,83,90
metro_2,1432,pop1,89,90
metro_101,417,pop2,117,90
metro_152,725,pop15,19,90
metro_108,327,pop15,70,90
metro_223,1349,pop10,26,90
metro_110,216,pop8,69,90
metro_54,444,pop4,90,90
metro_209,265,pop16,89,90
metro_170,1914,pop16,82,90
metro_153,1014,pop16,68,90
metro_89,3103,pop4,47,90
metro_168,1491,pop1,46,90
metro_221,1164,pop5,111,90
metro_194,694,pop16,57,90
metro_75,169,pop14,54,90
metro_4,7,pop5,35,90
metro_131,2421,pop4,34,90
metro_133,342,pop10,71,90
metro_173,1638,pop15,50,90
