metro,clients,default pop,latency,time
metro_57,47,pop4,64,90
metro_10,211,pop5,38,90
metro_110,1367,pop8,69,90
metro_202,2397,pop11,29,90
metro_192,437,pop2,44,90
metro_153,680,pop16,68,90
metro_180,1318,pop8,69,90
metro_104,521,pop2,82,90
metro_133,360,pop10,71,90
metro_5,118,pop16,166,90
metro_106,2279,pop14,27,90
metro_160,2941,pop16,81,90
metro_230,972,pop1,48,90
metro_167,1585,pop2,43,90
metro_207,53,pop2,50,90
metro_173,1939,pop15,50,90
metro_39,507,pop7,100,90
metro_107,1099,pop14,34,90
metro_175,334,pop5,183,90
metro_121,293,pop12,33,90
metro_105,1340,pop2,58,90
metro_112,3712,pop13,31,90
metro_152,372,pop15,19,90
metro_109,418,pop14,64,90
metro_187,223,pop6,30,90
metro_11,639,pop1,50,90
metro_71,331,pop1,36,90
metro_141,292,pop16,31,90
metro_190,44,pop1,35,90
metro_9,4272,pop16,71,90
metro_96,321,pop1,33,90
metro_24,1034,pop2,91,90
metro_211,98,pop12,40,90
metro_113,982,pop14,92,90
metro_223,359,pop10,26,90
metro_136,1712,pop12,146,90
metro_77,340,pop4,31,90
metro_89,374,pop4,47,90
metro_73,600,pop1,54,90
metro_111,904,pop15,175,90
metro_127,33,pop1,41,90
metro_139,521,pop5,24,90
metro_102,475,pop2,39,90
metro_181,2373,pop1,34,90
metro_93,554,pop1,49,90
metro_168,21,pop1,46,90
metro_98,530,pop1,55,90
metro_32,4194,pop18,22,90
metro_74,120,pop15,67,90
metro_2,18,pop1,89,90
metro_157,1139,pop2,48,90
metro_114,216,pop4,64,90
metro_161,306,pop16,79,90
metro_37,3623,pop1,39,90
metro_189,109,pop8,41,90
metro_221,417,pop5,111,90
metro_147,537,pop16,52,90
metro_186,1262,pop4,29,90
metro_70,569,pop1,40,90
metro_166,1545,pop2,48,90
metro_210,761,pop2,39,90
metro_145,408,pop15,29,90
metro_99,1304,pop14,37,90
metro_155,197,pop14,46,90
metro_47,12,pop8,78,90
metro_118,360,pop16,30,90
metro_49,452,pop5,94,90
metro_138,390,pop1,57,90
metro_101,1296,pop2,117,90
metro_65,893,pop2,54,90
metro_194,1238,pop16,57,90
metro_208,897,pop16,51,90
metro_81,437,pop5,57,90
metro_63,102,pop9,28,90
metro_95,1882,pop4,39,90
