metro,clients,default pop,latency,time
metro_105,1622,pop2,58,90
metro_211,267,pop12,40,90
metro_77,34,pop4,31,90
metro_81,1899,pop5,57,90
metro_11,683,pop1,50,90
metro_102,89,pop2,39,90
metro_26,3471,pop14,53,90
metro_74,3255,pop15,67,90
metro_175,490,pop5,183,90
metro_181,111,pop1,34,90
metro_153,202,pop16,68,90
metro_104,1464,pop2,82,90
metro_202,1212,pop11,29,90
metro_139,521,pop5,24,90
metro_106,401,pop14,27,90
metro_111,2302,pop15,175,90
metro_180,87,pop8,69,90
metro_75,4677,pop14,54,90
metro_10,2459,pop5,38,90
metro_70,1085,pop1,40,90
metro_99,1276,pop14,37,90
metro_160,1394,pop16,81,90
metro_186,1815,pop4,29,90
metro_121,326,pop12,33,90
metro_207,4942,pop2,50,90
metro_198,168,pop2,61,90
metro_95,951,pop4,39,90
metro_89,158,pop4,47,90
metro_65,1119,pop2,54,90
metro_145,57,pop15,29,90
metro_138,1098,pop1,57,90
metro_9,313,pop16,71,90
metro_116,2612,pop11,56,90
metro_194,964,pop16,57,90
metro_210,150,pop2,39,90
metro_38,3733,pop5,34,90
metro_63,1450,pop9,28,90
metro_110,1490,pop8,69,90
metro_157,825,pop2,48,90
metro_173,187,pop15,50,90
metro_5,820,pop16,166,90
metro_208,1566,pop16,51,90
metro_107,162,pop14,34,90
metro_39,545,pop7,100,90
metro_54,571,pop4,90,90
metro_32,419,pop18,22,90
metro_168,90,pop1,46,90
metro_73,84,pop1,54,90
metro_209,2974,pop16,89,90
metro_57,2049,pop4,64,90
metro_86,1438,pop1,83,90
metro_192,49,pop2,44,90
metro_114,2409,pop4,64,90
metro_155,589,pop14,46,90
metro_51,1031,pop15,30,90
metro_98,327,pop1,55,90
metro_185,490,pop1,74,90
metro_56,1896,pop9,327,90
metro_178,725,pop1,34,90
metro_92,114,pop2,48,90
metro_30,2969,pop1,30,90
metro_152,1661,pop15,19,90
metro_221,28,pop5,111,90
metro_37,858,pop1,39,90
metro_190,778,pop1,35,90
metro_170,44,pop16,82,90
metro_203,1537,pop16,65,90
metro_147,27,pop16,52,90
metro_223,893,pop10,26,90
metro_131,1481,pop4,34,90
metro_230,2160,pop1,48,90
metro_167,113,pop2,43,90
metro_3,396,pop16,92,90
metro_49,81,pop5,94,90
metro_127,187,pop1,41,90
