metro,clients,default pop,latency,time
metro_32,169,pop18,22,90
metro_166,207,pop2,48,90
metro_104,1612,pop2,82,90
metro_141,554,pop16,31,90
metro_161,103,pop16,79,90
metro_75,177,pop14,54,90
metro_73,324,pop1,54,90
metro_30,515,pop1,30,90
metro_194,243,pop16,57,90
metro_110,1164,pop8,69,90
metro_192,1209,pop2,44,90
metro_160,401,pop16,81,90
metro_65,899,pop2,54,90
metro_210,1082,pop2,39,90
metro_86,70,pop1,83,90
metro_24,600,pop2,91,90
metro_51,4170,pop15,30,90
metro_211,245,pop12,40,90
metro_180,1999,pop8,69,90
metro_113,159,pop14,92,90
metro_105,791,pop2,58,90
metro_11,111,pop1,50,90
metro_71,187,pop1,36,90
metro_77,790,pop4,31,90
metro_203,573,pop16,65,90
