metro,clients,default pop,latency,time
metro_107,2365,pop14,34,90
metro_108,954,pop15,70,90
metro_133,997,pop10,71,90
metro_92,847,pop2,48,90
metro_145,274,pop15,29,90
metro_104,255,pop2,82,90
metro_70,952,pop1,40,90
metro_113,103,pop14,92,90
metro_98,817,pop1,55,90
metro_223,580,pop10,26,90
metro_101,1163,pop2,117,90
metro_77,287,pop4,31,90
metro_3,1959,pop16,92,90
metro_10,281,pop5,38,90
metro_116,5566,pop11,56,90
metro_187,30,pop6,30,90
metro_96,902,pop1,33,90
metro_121,263,pop12,33,90
metro_57,2550,pop4,64,90
metro_99,42,pop14,37,90
metro_161,89,pop16,79,90
metro_160,141,pop16,81,90
metro_26,6,pop14,53,90
metro_32,166,pop18,22,90
metro_180,1415,pop8,69,90
metro_4,2263,pop5,35,90
metro_221,780,pop5,111,90
metro_110,1227,pop8,69,90
metro_181,48,pop1,34,90
metro_49,2561,pop5,94,90
metro_81,81,pop5,57,90
metro_5,342,pop16,166,90
metro_194,2038,pop16,57,90
metro_208,2388,pop16,51,90
metro_47,429,pop8,78,90
metro_54,2093,pop4,90,90
metro_136,1923,pop12,146,90
metro_192,1513,pop2,44,90
metro_102,1994,pop2,39,90
metro_186,316,pop4,29,90
metro_11,2760,pop1,50,90
metro_95,1528,pop4,39,90
metro_190,651,pop1,35,90
metro_170,930,pop16,82,90
metro_131,1586,pop4,34,90
metro_138,3196,pop1,57,90
metro_198,2532,pop2,61,90
metro_106,1162,pop14,27,90
metro_112,282,pop13,31,90
metro_139,2648,pop5,24,90
