metro,clients,default pop,latency,time
metro_208,131,pop16,51,90
metro_121,1251,pop12,33,90
metro_152,2015,pop15,19,90
metro_230,164,pop1,48,90
metro_109,254,pop14,64,90
metro_118,82,pop16,30,90
metro_38,3254,pop5,34,90
metro_107,197,pop14,34,90
metro_186,185,pop4,29,90
metro_133,1609,pop10,71,90
metro_203,1241,pop16,65,90
metro_81,645,pop5,57,90
metro_56,2219,pop9,327,90
metro_114,758,pop4,64,90
metro_73,195,pop1,54,90
metro_167,1888,pop2,43,90
metro_98,968,pop1,55,90
metro_95,779,pop4,39,90
metro_51,747,pop15,30,90
metro_138,16,pop1,57,90
metro_30,750,pop1,30,90
metro_63,344,pop9,28,90
metro_127,1508,pop1,41,90
metro_74,3816,pop15,67,90
metro_104,235,pop2,82,90
