metro,clients,default pop,latency,time
metro_93,4619,pop1,49,90
metro_96,995,pop1,33,90
metro_92,390,pop2,48,90
metro_81,704,pop5,57,90
metro_108,37,pop15,70,90
metro_38,995,pop5,34,90
metro_114,2066,pop4,64,90
metro_101,397,pop2,117,90
metro_3,996,pop16,92,90
metro_203,581,pop16,65,90
metro_105,1319,pop2,58,90
metro_160,4525,pop16,81,90
metro_32,2142,pop18,22,90
metro_181,676,pop1,34,90
metro_73,169,pop1,54,90
metro_208,105,pop16,51,90
metro_198,391,pop2,61,90
metro_102,1799,pop2,39,90
metro_10,112,pop5,38,90
metro_110,3478,pop8,69,90
metro_77,135,pop4,31,90
metro_111,62,pop15,175,90
metro_74,1697,pop15,67,90
metro_155,1545,pop14,46,90
metro_11,460,pop1,50,90
metro_56,775,pop9,327,90
metro_173,187,pop15,50,90
metro_104,703,pop2,82,90
metro_121,390,pop12,33,90
metro_71,957,pop1,36,90
metro_109,1289,pop14,64,90
metro_75,1192,pop14,54,90
metro_185,1841,pop1,74,90
metro_86,956,pop1,83,90
metro_202,674,pop11,29,90
metro_5,2259,pop16,166,90
metro_180,1209,pop8,69,90
metro_4,898,pop5,35,90
metro_49,44,pop5,94,90
metro_24,625,pop2,91,90
metro_189,2053,pop8,41,90
metro_210,31,pop2,39,90
metro_47,781,pop8,78,90
metro_170,258,pop16,82,90
metro_51,1762,pop15,30,90
metro_95,1454,pop4,39,90
metro_207,93,pop2,50,90
metro_138,2259,pop1,57,90
metro_187,585,pop6,30,90
metro_147,1032,pop16,52,90
